NOME;EMAIL;CPF;TELEFONE;LOGIN;SENHA;ID_ENDERECO;ID_TIPO_USUARIO;ID_INSTITUICAO
Ferdinand;Ferdinand@hotmail.com;835.658.400-05;(53)99620-2626;Ferdinand;Ferdinand@#$456;11;4;19
Jianhui;Jianhui@hotmail.com;260.401.950-70;(96)98255-2934;Jianhui;Jianhui@#$456;5;3;64
Jaewon;Jaewon@hotmail.com;181.409.720-10;(68)99688-0154;Jaewon;Jaewon@#$456;6;2;20
Mahendra;Mahendra@hotmail.com;710.614.970-54;(38)98264-6518;Mahendra;Mahendra@#$456;6;4;88
Demos;Demos@hotmail.com;980.482.570-84;(49)99832-9692;Demos;Demos@#$456;10;2;18
Arif;Arif@hotmail.com;462.942.410-57;(82)99705-8384;Arif;Arif@#$456;7;3;143
Dipayan;Dipayan@hotmail.com;868.524.060-32;(73)98801-0887;Dipayan;Dipayan@#$456;11;4;60
Tesuro;Tesuro@hotmail.com;599.073.820-00;(44)99405-3390;Tesuro;Tesuro@#$456;15;2;115
Manibrata;Manibrata@hotmail.com;652.557.420-07;(51)99541-9104;Manibrata;Manibrata@#$456;9;3;41
Remmert;Remmert@hotmail.com;267.431.750-72;(42)99489-7185;Remmert;Remmert@#$456;16;4;104
Gaetan;Gaetan@hotmail.com;475.103.400-63;(61)99222-3693;Gaetan;Gaetan@#$456;11;2;107
Kellyn;Kellyn@hotmail.com;038.498.670-64;(68)98965-9522;Kellyn;Kellyn@#$456;16;3;98
Jinpo;Jinpo@hotmail.com;251.313.950-03;(98)99856-5794;Jinpo;Jinpo@#$456;4;4;54
Hiroyasu;Hiroyasu@hotmail.com;669.815.460-19;(63)99804-5023;Hiroyasu;Hiroyasu@#$456;14;3;42
Rosella;Rosella@hotmail.com;159.510.210-81;(92)99139-0422;Rosella;Rosella@#$456;8;2;60
Zhiguo;Zhiguo@hotmail.com;017.361.280-60;(96)98878-3931;Zhiguo;Zhiguo@#$456;3;1;53
Sergi;Sergi@hotmail.com;575.375.430-97;(89)98430-7093;Sergi;Sergi@#$456;16;1;85
Claudi;Claudi@hotmail.com;211.246.041-20 ;(11)91958-0656;Claudi;Claudi@#$456;3;1;156
Jiong;Jiong@hotmail.com;299.827.458-75 ;(38)98544-7826;Jiong;Jiong@#$456;12;1;158
Kenton;Kenton@hotmail.com;288.892.178-20 ;(39)93820-0532;Kenton;Kenton@#$456;13;1;118
Nechama;Nechama@hotmail.com;387.828.878-61 ;(41)91327-9822;Nechama;Nechama@#$456;5;1;106
Masadi;Masadi@hotmail.com;315.140.728-58 ;(17)91659-9262;Masadi;Masadi@#$456;15;1;81
Kersti;Kersti@hotmail.com;400.640.618-50 ;(91)93029-3457;Kersti;Kersti@#$456;13;1;126
Djelloul;Djelloul@hotmail.com;136.729.298-08 ;(71)98506-8239;Djelloul;Djelloul@#$456;17;1;66
Mikhail;Mikhail@hotmail.com;369.076.948-59 ;(56)96458-0890;Mikhail;Mikhail@#$456;13;1;28
Ugo;Ugo@hotmail.com;172.153.098-35 ;(30)91346-8226;Ugo;Ugo@#$456;3;1;126
Youssef;Youssef@hotmail.com;298.152.528-01 ;(01)94797-1986;Youssef;Youssef@#$456;13;1;139
Yolla;Yolla@hotmail.com;088.458.748-77 ;(40)91319-2286;Yolla;Yolla@#$456;12;1;40
Hirochika;Hirochika@hotmail.com;275.667.278-50 ;(09)97689-8439;Hirochika;Hirochika@#$456;1;1;24
Bernardo;Bernardo@hotmail.com;181.825.918-48 ;(77)95484-3407;Bernardo;Bernardo@#$456;13;1;7
Vojin;Vojin@hotmail.com;420.591.348-62 ;(10)97039-9929;Vojin;Vojin@#$456;17;1;89
Shimshon;Shimshon@hotmail.com;330.185.848-13 ;(05)97042-3381;Shimshon;Shimshon@#$456;1;1;55
Anyuan;Anyuan@hotmail.com;181.197.178-48 ;(46)99893-8690;Anyuan;Anyuan@#$456;2;1;74
Vidar;Vidar@hotmail.com;200.512.908-98 ;(60)90690-9909;Vidar;Vidar@#$456;4;1;46
Faiza;Faiza@hotmail.com;151.255.898-29 ;(79)99032-8432;Faiza;Faiza@#$456;3;1;155
Yoshimitsu;Yoshimitsu@hotmail.com;175.440.088-43 ;(21)90606-5042;Yoshimitsu;Yoshimitsu@#$456;13;1;139
Garnik;Garnik@hotmail.com;172.154.348-18 ;(59)91580-5843;Garnik;Garnik@#$456;7;1;78
Mooi;Mooi@hotmail.com;265.655.728-36 ;(33)91625-0563;Mooi;Mooi@#$456;17;1;142
Eckart;Eckart@hotmail.com;007.231.386-21 ;(69)97357-7892;Eckart;Eckart@#$456;13;1;79
Vincent;Vincent@hotmail.com;262.802.768-21 ;(08)96044-5729;Vincent;Vincent@#$456;4;1;69
Holgard;Holgard@hotmail.com;306.818.488-63 ;(35)93969-6952;Holgard;Holgard@#$456;3;1;98
Yuguang;Yuguang@hotmail.com;594.765.248-04 ;(26)94042-9700;Yuguang;Yuguang@#$456;12;1;32
Leah;Leah@hotmail.com;404.220.138-54 ;(60)90157-3597;Leah;Leah@#$456;10;1;30
Khaled;Khaled@hotmail.com;288.173.938-51 ;(36)97236-8551;Khaled;Khaled@#$456;11;1;160
Zhongwei;Zhongwei@hotmail.com;181.197.158-02 ;(01)96213-3199;Zhongwei;Zhongwei@#$456;10;1;82
Guenter;Guenter@hotmail.com;025.220.606-19 ;(90)98743-6149;Guenter;Guenter@#$456;16;1;86
Satyanarayana;Satyanarayana@hotmail.com;145.595.238-94 ;(22)92907-4105;Satyanarayana;Satyanarayana@#$456;17;1;139
Ioana;Ioana@hotmail.com;042.500.546-16 ;(68)94016-9189;Ioana;Ioana@#$456;9;1;123
Xiong;Xiong@hotmail.com;071.075.748-41 ;(66)96038-5377;Xiong;Xiong@#$456;13;1;31
Pascal;Pascal@hotmail.com;164.011.988-42 ;(96)95717-7703;Pascal;Pascal@#$456;10;1;130
Along;Along@hotmail.com;136.729.278-64 ;(54)96147-9396;Along;Along@#$456;4;1;87
Adam;Adam@hotmail.com;340.419.858-11 ;(57)93326-1020;Adam;Adam@#$456;9;1;75
Gritta;Gritta@hotmail.com;300.253.008-57 ;(87)99546-6811;Gritta;Gritta@#$456;12;1;133
Satosi;Satosi@hotmail.com;319.376.938-05 ;(82)96520-5900;Satosi;Satosi@#$456;11;1;158
Shigeaki;Shigeaki@hotmail.com;326.473.998-40 ;(34)99050-3681;Shigeaki;Shigeaki@#$456;1;1;125
Vugranam;Vugranam@hotmail.com;324.032.978-60 ;(77)97436-5484;Vugranam;Vugranam@#$456;14;1;97
